method,q,PN_order,chi_eff_bin,chi_eff_mean,median_abs_delta_a,mean_abs_delta_a,p25_abs_delta_a,p75_abs_delta_a,n
Padé,0.35,0PN,"(-0.667, -0.533]",-0.5910331384015595,4.748646579104668,4.754546742443213,4.3371817923910525,5.217755482011791,23
Padé,0.35,0PN,"(-0.533, -0.4]",-0.46180917759865125,3.80990846165672,3.8013576331866683,3.2355746514197765,4.384424607622364,37
Padé,0.35,0PN,"(-0.4, -0.267]",-0.3337231968810916,2.8250793430334324,2.8816450700213756,2.311278167693554,3.3837681349913162,42
Padé,0.35,0PN,"(-0.267, -0.133]",-0.20116959064327486,1.9662574785168936,2.022986086411763,1.6035523734483643,2.3918866111930597,43
Padé,0.35,0PN,"(-0.133, 0.0]",-0.067056530214425,1.253925321699076,1.2767055016440467,0.9581321783969299,1.56490894609152,43
Padé,0.35,0PN,"(0.0, 0.133]",0.0670565302144249,0.7586241023754967,0.7929374482284017,0.5475261331426979,1.0197043009137186,43
Padé,0.35,0PN,"(0.133, 0.267]",0.20116959064327478,0.3463986822882208,0.365420698234867,0.18008279468169675,0.529874930641187,43
Padé,0.35,0PN,"(0.267, 0.4]",0.33372319688109153,0.14887513091802407,0.16947724132910644,0.0762457973459839,0.23382178533308046,42
Padé,0.35,0PN,"(0.4, 0.533]",0.4618091775986512,0.1632695887716004,0.17441487466806735,0.079773769611056,0.2606262529085703,37
Padé,0.35,0PN,"(0.533, 0.667]",0.5910331384015594,0.3132747546646075,0.30565209566405216,0.2489811239045207,0.37388920163187667,23
Padé,0.35,0PN,"(0.667, 0.8]",0.7196881091617934,0.4516269853066206,0.44714866293423366,0.41216376463232496,0.48895912439072114,12
Padé,0.35,1PN,"(-0.801, -0.667]",-0.7196881091617934,3.0531616494829015,3.0200014756068985,2.7648999143682076,3.30042018674001,12
Padé,0.35,1PN,"(-0.667, -0.533]",-0.5910331384015595,2.2195936738141384,2.2301551728514712,1.9329413683486485,2.54668837530112,23
Padé,0.35,1PN,"(-0.533, -0.4]",-0.46180917759865125,1.5882719721017953,1.6041865647284705,1.2393750314577805,1.9617823433959416,37
Padé,0.35,1PN,"(-0.4, -0.267]",-0.3337231968810916,1.0008969247916082,1.054319480319548,0.7275197918559698,1.3261623744152589,42
Padé,0.35,1PN,"(-0.267, -0.133]",-0.20116959064327486,0.5525161043794804,0.5932431121143333,0.38263028123914333,0.7697243949714372,43
Padé,0.35,1PN,"(-0.133, 0.0]",-0.067056530214425,0.2266225914260484,0.2443041997894767,0.105646929872077,0.36158861405831666,43
Padé,0.35,1PN,"(0.0, 0.133]",0.0670565302144249,0.0794704183743242,0.09700096214906559,0.0400664340712817,0.12921525200882805,43
Padé,0.35,1PN,"(0.133, 0.267]",0.20116959064327478,0.1104470022802357,0.111713874760183,0.060857282184975506,0.16515172877064876,43
Padé,0.35,1PN,"(0.267, 0.4]",0.33372319688109153,0.19964717157004913,0.1989967906520333,0.15160345786215695,0.24779188738097985,42
Padé,0.35,1PN,"(0.4, 0.533]",0.4618091775986512,0.2640572481664089,0.26802770537820636,0.2277678266350027,0.305715167099593,37
Padé,0.35,1PN,"(0.533, 0.667]",0.5910331384015594,0.3126496116011235,0.3153466570247066,0.2890443997391929,0.3426320163038352,23
Padé,0.35,1PN,"(0.667, 0.8]",0.7196881091617934,0.3688342190584435,0.3688342190584435,0.3688342190584435,0.3688342190584435,12
Padé,0.35,2PN,"(-0.801, -0.667]",-0.7196881091617934,3.1187682101389673,3.1126774098669916,2.9615195763344047,3.282818426563993,12
Padé,0.35,2PN,"(-0.667, -0.533]",-0.5910331384015595,2.602105072225478,2.5984006930556656,2.4021882930411174,2.788712577721362,23
Padé,0.35,2PN,"(-0.533, -0.4]",-0.46180917759865125,2.1359130166279034,2.1485220793610154,1.9218432782824628,2.369023067468349,37
Padé,0.35,2PN,"(-0.4, -0.267]",-0.3337231968810916,1.6650084100831963,1.6986124810481922,1.4607971094492447,1.8958070686575104,42
Padé,0.35,2PN,"(-0.267, -0.133]",-0.20116959064327486,1.2389257239134088,1.2585933680701615,1.0945355651305873,1.3922922883300415,43
Padé,0.35,2PN,"(-0.133, 0.0]",-0.067056530214425,0.849702729527487,0.8520862955373893,0.7337853626599895,0.9657705419784093,43
Padé,0.35,2PN,"(0.0, 0.133]",0.0670565302144249,0.5046410909808894,0.5199799199174311,0.416751515201091,0.6188078491803612,43
Padé,0.35,2PN,"(0.133, 0.267]",0.20116959064327478,0.1810218677028938,0.19006584192791948,0.09860329646625415,0.26892748339475747,43
Padé,0.35,2PN,"(0.267, 0.4]",0.33372319688109153,0.13954185565461105,0.1582536911514547,0.0628563040808969,0.23591156879795672,42
Padé,0.35,2PN,"(0.4, 0.533]",0.4618091775986512,0.3967305426153835,0.386828156851925,0.3182743724279011,0.46649777864691444,37
Padé,0.35,2PN,"(0.533, 0.667]",0.5910331384015594,0.5525338819396939,0.546741225052938,0.514930404881275,0.5862456254830416,23
Padé,0.35,2PN,"(0.667, 0.8]",0.7196881091617934,0.6544627819147295,0.6544627819147295,0.6544627819147295,0.6544627819147295,12
Padé,0.4,0PN,"(-0.801, -0.667]",-0.7133834586466167,4.834016569684276,4.821929581016178,4.586888952363887,5.0895092758594265,10
Padé,0.4,0PN,"(-0.667, -0.533]",-0.5892121608368749,3.9568823601804137,3.9439496418180626,3.589701412175649,4.303417598571197,23
Padé,0.4,0PN,"(-0.533, -0.4]",-0.45926581158779306,3.1779535307083364,3.173381314117012,2.7407448545052913,3.5839154010585026,34
Padé,0.4,0PN,"(-0.4, -0.267]",-0.33082706766917297,2.4242748017292373,2.4828669207272225,2.01341525505302,2.9054578139583196,44
Padé,0.4,0PN,"(-0.267, -0.133]",-0.19849624060150378,1.6637808896306994,1.7117156625343881,1.3430039923738364,2.0378432158612227,44
Padé,0.4,0PN,"(-0.133, 0.0]",-0.06616541353383464,1.1024762829978159,1.144809742865732,0.8495169225016175,1.3930399508663875,44
Padé,0.4,0PN,"(0.0, 0.133]",0.06616541353383454,0.6645328439848777,0.6793291624403719,0.46469545229299475,0.8929265201288742,44
Padé,0.4,0PN,"(0.133, 0.267]",0.1984962406015037,0.31790053747565444,0.3334185327465791,0.15568399204106376,0.49788332153184545,44
Padé,0.4,0PN,"(0.267, 0.4]",0.3308270676691729,0.13827928857889726,0.15216180966579415,0.07306074680007098,0.2155089958998849,44
Padé,0.4,0PN,"(0.4, 0.533]",0.459265811587793,0.16656504249339196,0.16743349258805454,0.08034573822724818,0.2518872725294508,34
Padé,0.4,0PN,"(0.533, 0.667]",0.5892121608368748,0.3132652763075683,0.3057523083729104,0.25111841330017226,0.36865751112810874,23
Padé,0.4,0PN,"(0.667, 0.8]",0.7133834586466166,0.4469152068151352,0.4432066588360263,0.41283165007441164,0.4799099866381831,10
Padé,0.4,1PN,"(-0.801, -0.667]",-0.7133834586466167,2.2345566236896763,2.230710459103987,2.0648367471433646,2.414041729104751,10
Padé,0.4,1PN,"(-0.667, -0.533]",-0.5892121608368749,1.6444680418516109,1.6450762762206335,1.417084150449476,1.868988597888426,23
Padé,0.4,1PN,"(-0.533, -0.4]",-0.45926581158779306,1.1673524706023257,1.176663995326309,0.9231630963294735,1.4076977792963257,34
Padé,0.4,1PN,"(-0.4, -0.267]",-0.33082706766917297,0.7501073849875628,0.7978075056948097,0.5472686403915544,1.0100682750044236,44
Padé,0.4,1PN,"(-0.267, -0.133]",-0.19849624060150378,0.38085259680141625,0.413240360458726,0.24629432140673976,0.5558950210417404,44
Padé,0.4,1PN,"(-0.133, 0.0]",-0.06616541353383462,0.1407801133808541,0.17420570381606906,0.05378183807368923,0.26032667953925487,44
Padé,0.4,1PN,"(0.0, 0.133]",0.06616541353383454,0.07880343668706025,0.0852240557138127,0.04127576989291785,0.1258023007676464,44
Padé,0.4,1PN,"(0.133, 0.267]",0.1984962406015037,0.13774502708080089,0.13629087145278143,0.08157462426273393,0.18839391329662494,44
Padé,0.4,1PN,"(0.267, 0.4]",0.3308270676691729,0.22548331811918193,0.2313970355243141,0.18338706624182965,0.2725901287468364,44
Padé,0.4,1PN,"(0.4, 0.533]",0.459265811587793,0.2817334859484779,0.29098944779020663,0.2536529876547855,0.32239065854921,34
Padé,0.4,1PN,"(0.533, 0.667]",0.5892121608368748,0.3305220773657034,0.3290838315841292,0.30998532746364177,0.3441042555686263,23
Padé,0.4,1PN,"(0.667, 0.8]",0.7133834586466166,,,,,10
Padé,0.4,2PN,"(-0.801, -0.667]",-0.7133834586466167,2.622195387566064,2.620829471005177,2.522882551723823,2.724672792211062,10
Padé,0.4,2PN,"(-0.667, -0.533]",-0.5892121608368749,2.2434605527644167,2.2237428385290383,2.090973089826245,2.354057873645502,23
Padé,0.4,2PN,"(-0.533, -0.4]",-0.45926581158779306,1.8516881297570569,1.8567790656568715,1.7013502605795816,2.0041935186583606,34
Padé,0.4,2PN,"(-0.4, -0.267]",-0.33082706766917297,1.4843452380591333,1.5059874145947907,1.3446478344897834,1.659550492342156,44
Padé,0.4,2PN,"(-0.267, -0.133]",-0.19849624060150378,1.0886636350138745,1.1079461946785116,0.9828402402714157,1.2342874703255875,44
Padé,0.4,2PN,"(-0.133, 0.0]",-0.06616541353383464,0.7618702690460448,0.772354315504814,0.6582989398997559,0.8739513166577798,44
Padé,0.4,2PN,"(0.0, 0.133]",0.06616541353383454,0.4437765484211269,0.446924103752685,0.3431986942512047,0.5375562462142238,44
Padé,0.4,2PN,"(0.133, 0.267]",0.1984962406015037,0.1353447732938011,0.15729490900887147,0.06885334980276743,0.2251686904484562,44
Padé,0.4,2PN,"(0.267, 0.4]",0.3308270676691729,0.17391696400242052,0.1847133155986473,0.09239691721211257,0.26757609777828323,44
Padé,0.4,2PN,"(0.4, 0.533]",0.459265811587793,0.4217474873486173,0.40751722960064574,0.34653106412677154,0.47945185354508757,34
Padé,0.4,2PN,"(0.533, 0.667]",0.5892121608368748,0.5481707846153645,0.542705193720343,0.5129921569571231,0.5807236796365345,23
Padé,0.4,2PN,"(0.667, 0.8]",0.7133834586466166,,,,,10
Padé,0.45,0PN,"(-0.801, -0.667]",-0.7154668279895141,4.196396540255995,4.209452204403672,4.075665836684026,4.387056967959024,9
Padé,0.45,0PN,"(-0.667, -0.533]",-0.5949356148993173,3.473090372416195,3.435008423131903,3.184718751340973,3.727937815894365,21
Padé,0.45,0PN,"(-0.533, -0.4]",-0.4637738546994446,2.7718878640064912,2.77524967437936,2.428944889233171,3.096265948872036,33
Padé,0.45,0PN,"(-0.4, -0.267]",-0.33209041412308204,2.101666590090984,2.1554888861243633,1.7902836567378266,2.5331118279018936,44
Padé,0.45,0PN,"(-0.267, -0.133]",-0.20036297640653364,1.505617913044441,1.5442155484056754,1.225036273717265,1.8629651887545744,46
Padé,0.45,0PN,"(-0.133, 0.0]",-0.0667876588021779,1.0246643296835176,1.041862272422706,0.7807406983076999,1.2605446905489628,46
Padé,0.45,0PN,"(0.0, 0.133]",0.06678765880217781,0.5620029732542593,0.5894759432727587,0.39868089331402556,0.7796825017373858,46
