q,chi1_z,chi2_z,PN_order,Padé,Taylor,Taylor_minus_Pade,Pade_better
0.25,-0.7157894736842105,0.463157894736842,0PN,0.1486589125848341,0.9615402007136472,0.8128812881288131,True
0.25,-0.7157894736842105,0.463157894736842,1PN,0.136969650271451,0.6327073174253184,0.49573766715386736,True
0.25,-0.7157894736842105,0.463157894736842,2PN,0.1046545121447901,0.6335073974333194,0.5288528852885293,True
0.25,-0.7157894736842105,0.5473684210526315,0PN,0.0087096813690665,0.9177829678958602,0.9090732865267938,True
0.25,-0.7157894736842105,0.5473684210526315,1PN,0.1831271231132403,0.6129524848475558,0.4298253617343155,True
0.25,-0.7157894736842105,0.5473684210526315,2PN,0.0615149618971191,0.629754165015572,0.5682392031184529,True
0.25,-0.7157894736842105,0.631578947368421,0PN,0.1538644482457005,0.8790388420833324,0.7251743938376318,True
0.25,-0.7157894736842105,0.631578947368421,1PN,0.2282718889897754,0.5958105192510486,0.36753863026127315,True
0.25,-0.7157894736842105,0.631578947368421,2PN,0.2330723690377798,0.6262135595550795,0.3931411905172997,True
0.25,-0.7157894736842105,0.7157894736842105,0PN,0.2852560695904924,0.8500574617626433,0.5648013921721509,True
0.25,-0.7157894736842105,0.7157894736842105,1PN,0.2724547894624796,0.5860310591223787,0.31357626965989915,True
0.25,-0.7157894736842105,0.7157894736842105,2PN,0.4076683108146146,0.6300354595624227,0.2223671487478081,True
0.25,-0.7157894736842105,0.8,0PN,0.4067299431656499,0.8309938292115877,0.4242638860459378,True
0.25,-0.7157894736842105,0.8,1PN,0.3299222623975728,0.5829690267313401,0.2530467643337673,True
0.25,-0.7157894736842105,0.8,2PN,0.5547447446457978,0.6397747072993969,0.08502996265359908,True
0.25,-0.6315789473684211,-0.8,0PN,6.283056886149601,6.283056886149601,0.0,False
0.25,-0.6315789473684211,-0.8,1PN,6.283056886149601,6.283056886149601,0.0,False
0.25,-0.6315789473684211,-0.8,2PN,6.283056886149601,4.2668552659875845,-2.0162016201620165,False
0.25,-0.6315789473684211,-0.7157894736842105,0PN,6.290562602738023,6.290562602738023,0.0,False
0.25,-0.6315789473684211,-0.7157894736842105,1PN,5.73850739721747,4.636797226200368,-1.1017101710171016,False
0.25,-0.6315789473684211,-0.7157894736842105,2PN,5.112844830960844,2.8342169681745664,-2.2786278627862777,False
0.25,-0.6315789473684211,-0.6315789473684211,0PN,6.304152064070268,6.304152064070268,0.0,False
0.25,-0.6315789473684211,-0.6315789473684211,1PN,4.430364685332394,3.2078424331071704,-1.222522252225224,False
0.25,-0.6315789473684211,-0.6315789473684211,2PN,4.154337082572118,2.2173433832021803,-1.9369936993699377,False
0.25,-0.6315789473684211,-0.5473684210526316,0PN,6.154755457106625,5.584298411402055,-0.5704570457045701,False
0.25,-0.6315789473684211,-0.5473684210526316,1PN,3.382478229383853,2.479987980358951,-0.9024902490249023,False
0.25,-0.6315789473684211,-0.5473684210526316,2PN,3.424882469807895,1.8279227738382984,-1.5969596959695966,False
0.25,-0.6315789473684211,-0.4631578947368421,0PN,5.057148126269009,4.131455557012084,-0.9256925692569249,False
0.25,-0.6315789473684211,-0.4631578947368421,1PN,2.5600984212985125,2.0216445759139745,-0.538453845384538,False
0.25,-0.6315789473684211,-0.4631578947368421,2PN,2.8593283442908124,1.549597371193502,-1.3097309730973103,False
0.25,-0.6315789473684211,-0.3789473684210527,0PN,4.1383385892691535,3.165441299540181,-0.9728972897289725,False
0.25,-0.6315789473684211,-0.3789473684210527,1PN,1.922917047114939,1.698094564866714,-0.224822482248225,False
0.25,-0.6315789473684211,-0.3789473684210527,2PN,2.4077655319634235,1.3404588012903562,-1.0673067306730672,False
0.25,-0.6315789473684211,-0.2947368421052632,0PN,3.3706663836289907,2.5601853355241806,-0.8104810481048101,False
0.25,-0.6315789473684211,-0.2947368421052632,1PN,1.4312724442350513,1.4552748444750758,0.024002400240024535,True
0.25,-0.6315789473684211,-0.2947368421052632,2PN,2.0361329302836566,1.1776470816987985,-0.8584858485848581,False
0.25,-0.6315789473684211,-0.2105263157894737,0PN,2.730527237605076,2.148869071788494,-0.5816581658165818,False
0.25,-0.6315789473684211,-0.2105263157894737,1PN,1.051959380819398,1.2679809829796134,0.21602160216021526,True
0.25,-0.6315789473684211,-0.2105263157894737,2PN,1.7208262675080666,1.0503592208033958,-0.6704670467046707,False
0.25,-0.6315789473684211,-0.1263157894736842,0PN,2.188381425998765,1.84354694255042,-0.3448344834483448,False
0.25,-0.6315789473684211,-0.1263157894736842,1PN,0.7514377316293279,1.112273815237689,0.36083608360836106,True
0.25,-0.6315789473684211,-0.1263157894736842,2PN,1.4371062984860137,0.9410566935255176,-0.4960496049604961,False
0.25,-0.6315789473684211,-0.0421052631578947,0PN,1.7405017088933392,1.618089467669217,-0.1224122412241222,False
0.25,-0.6315789473684211,-0.0421052631578947,1PN,0.523580016724122,0.9940270614285924,0.4704470447044704,True
0.25,-0.6315789473684211,-0.0421052631578947,2PN,1.2036480235248024,0.8612137801004596,-0.3424342434243428,False
0.25,-0.6315789473684211,0.0421052631578946,0PN,1.3634938696290058,1.4435018704290852,0.08000800080007942,True
0.25,-0.6315789473684211,0.0421052631578946,1PN,0.3449920194439868,0.8994474649885418,0.554455445544555,True
0.25,-0.6315789473684211,0.0421052631578946,2PN,0.9930568259246352,0.79783730397244,-0.19521952195219516,False
0.25,-0.6315789473684211,0.1263157894736841,0PN,1.0443154858418264,1.3051415684500878,0.26082608260826134,True
0.25,-0.6315789473684211,0.1263157894736841,1PN,0.2042314774409863,0.8234934036336057,0.6192619261926193,True
0.25,-0.6315789473684211,0.1263157894736841,2PN,0.79789084337758,0.7490859628895317,-0.04880488048804832,False
0.25,-0.6315789473684211,0.2105263157894736,0PN,0.7640306551094964,1.1872729793419197,0.42324232423242325,True
0.25,-0.6315789473684211,0.2105263157894736,1PN,0.0863628883328182,0.7560298550294879,0.6696669666966697,True
0.25,-0.6315789473684211,0.2105263157894736,2PN,0.6064148935333389,0.7048247345174374,0.09840984098409855,True
0.25,-0.6315789473684211,0.2947368421052632,0PN,0.5306164678502401,1.098673273530808,0.5680568056805679,True
0.25,-0.6315789473684211,0.2947368421052632,1PN,0.0006366574622913,0.708234229626417,0.7075975721641258,True
0.25,-0.6315789473684211,0.2947368421052632,2PN,0.4306064668501395,0.677831189322387,0.24722472247224747,True
0.25,-0.6315789473684211,0.3789473684210525,0PN,0.3210187816222674,1.021088788622968,0.7000700070007007,True
0.25,-0.6315789473684211,0.3789473684210525,1PN,0.0774210623621312,0.6650531850626114,0.5876321227004802,True
0.25,-0.6315789473684211,0.3789473684210525,2PN,0.2530119809421998,0.6530519849425995,0.40004000400039974,True
0.25,-0.6315789473684211,0.463157894736842,0PN,0.1445167400800864,0.9653988282889072,0.8208820882088208,True
0.25,-0.6315789473684211,0.463157894736842,1PN,0.1331110226961911,0.6373660250085793,0.5042550023123882,True
0.25,-0.6315789473684211,0.463157894736842,2PN,0.0853108194880274,0.6421665050565837,0.5568556855685562,True
0.25,-0.6315789473684211,0.5473684210526315,0PN,0.0170066817894363,0.915886607539496,0.8988799257500597,True
0.25,-0.6315789473684211,0.5473684210526315,1PN,0.1850234834696045,0.6126562845071928,0.4276328010375883,True
0.25,-0.6315789473684211,0.5473684210526315,2PN,0.0874137224935069,0.6326582847072131,0.5452445622137062,True
0.25,-0.6315789473684211,0.631578947368421,0PN,0.1609705935715992,0.87753325681344,0.7165626632418407,True
