configuration_name,q,chi1,chi2,theta1_deg,theta2_deg,dphi_deg,spin_geometry,method,PN_order,n_runs,mean_a_max,median_a_max,std_a_max,mean_S_max,median_S_max,std_S_max,mean_chi_at_max,median_chi_at_max,std_chi_at_max,mean_abs_delta_a,median_abs_delta_a,std_abs_delta_a,min_abs_delta_a,max_abs_delta_a,mean_signed_delta_a,median_signed_delta_a,std_signed_delta_a
nearly_antialigned_q0.3_chi10.2_chi20.2_th1180_th2180_dphi73,0.3,0.2,0.2,179.94270422048692,179.94270422048692,73.0,nearly_antialigned,Taylor,1PN,1,4.073807380738067,4.073807380738067,0.0,12.235831064096564,12.235831064096564,0.0,0.015836841630768705,0.015836841630768705,0.0,0.5959693713556895,0.5959693713556895,0.0,0.5959693713556895,0.5959693713556895,0.5959693713556895,0.5959693713556895,0.0
nearly_antialigned_q0.3_chi10.2_chi20.2_th1180_th2180_dphi73,0.3,0.2,0.2,179.94270422048692,179.94270422048692,73.0,nearly_antialigned,Taylor,2PN,1,3.881788178817878,3.881788178817878,0.0,12.252491865713427,12.252491865713427,0.0,0.00945297068382267,0.00945297068382267,0.0,0.40395016943550033,0.40395016943550033,0.0,0.40395016943550033,0.40395016943550033,0.40395016943550033,0.40395016943550033,0.0
random_like_3_q0.3_chi10.2_chi20.2_th176_th2156_dphi0,0.3,0.2,0.2,76.0,156.0,0.0,random_like_3,Padé,0PN,1,4.36450364503645,4.36450364503645,0.0,11.493579862890549,11.493579862890549,0.0,0.4236239889310788,0.4236239889310788,0.0,1.2231899853634882,1.2231899853634882,0.0,1.2231899853634882,1.2231899853634882,1.2231899853634882,1.2231899853634882,0.0
random_like_3_q0.3_chi10.2_chi20.2_th176_th2156_dphi0,0.3,0.2,0.2,76.0,156.0,0.0,random_like_3,Padé,1PN,1,3.482254822548228,3.482254822548228,0.0,11.075566770790388,11.075566770790388,0.0,0.5715089663181664,0.5715089663181664,0.0,0.3409411628752661,0.3409411628752661,0.0,0.3409411628752661,0.3409411628752661,0.3409411628752661,0.3409411628752661,0.0
random_like_3_q0.3_chi10.2_chi20.2_th176_th2156_dphi0,0.3,0.2,0.2,76.0,156.0,0.0,random_like_3,Padé,2PN,1,4.132181321813221,4.132181321813221,0.0,10.923385473462709,10.923385473462709,0.0,0.6138366003843743,0.6138366003843743,0.0,0.9908676621402588,0.9908676621402588,0.0,0.9908676621402588,0.9908676621402588,0.9908676621402588,0.9908676621402588,0.0
random_like_3_q0.3_chi10.2_chi20.2_th176_th2156_dphi0,0.3,0.2,0.2,76.0,156.0,0.0,random_like_3,Taylor,0PN,1,3.96339633963396,3.96339633963396,0.0,11.997200393827972,11.997200393827972,0.0,0.0648564221899018,0.0648564221899018,0.0,0.8220826799609977,0.8220826799609977,0.0,0.8220826799609977,0.8220826799609977,0.8220826799609977,0.8220826799609977,0.0
random_like_3_q0.3_chi10.2_chi20.2_th176_th2156_dphi0,0.3,0.2,0.2,76.0,156.0,0.0,random_like_3,Taylor,1PN,1,3.2433243324332395,3.2433243324332395,0.0,12.214570056275686,12.214570056275686,0.0,0.0064087532091028,0.0064087532091028,0.0,0.1020106727602776,0.1020106727602776,0.0,0.1020106727602776,0.1020106727602776,0.1020106727602776,0.1020106727602776,0.0
random_like_3_q0.3_chi10.2_chi20.2_th176_th2156_dphi0,0.3,0.2,0.2,76.0,156.0,0.0,random_like_3,Taylor,2PN,1,3.147314731473145,3.147314731473145,0.0,12.20388308435883,12.20388308435883,0.0,0.007037731441813,0.007037731441813,0.0,0.006001071800183,0.006001071800183,0.0,0.006001071800183,0.006001071800183,0.006001071800183,0.006001071800183,0.0
random_like_3_q0.3_chi10.2_chi20.2_th176_th2156_dphi73,0.3,0.2,0.2,76.0,156.0,73.0,random_like_3,Padé,0PN,1,4.36450364503645,4.36450364503645,0.0,11.493579862890549,11.493579862890549,0.0,0.4236239889310788,0.4236239889310788,0.0,1.2231899853634882,1.2231899853634882,0.0,1.2231899853634882,1.2231899853634882,1.2231899853634882,1.2231899853634882,0.0
random_like_3_q0.3_chi10.2_chi20.2_th176_th2156_dphi73,0.3,0.2,0.2,76.0,156.0,73.0,random_like_3,Padé,1PN,1,3.482254822548228,3.482254822548228,0.0,11.075566770790388,11.075566770790388,0.0,0.5715089663181664,0.5715089663181664,0.0,0.3409411628752661,0.3409411628752661,0.0,0.3409411628752661,0.3409411628752661,0.3409411628752661,0.3409411628752661,0.0
random_like_3_q0.3_chi10.2_chi20.2_th176_th2156_dphi73,0.3,0.2,0.2,76.0,156.0,73.0,random_like_3,Padé,2PN,1,4.132181321813221,4.132181321813221,0.0,10.923385473462709,10.923385473462709,0.0,0.6138366003843743,0.6138366003843743,0.0,0.9908676621402588,0.9908676621402588,0.0,0.9908676621402588,0.9908676621402588,0.9908676621402588,0.9908676621402588,0.0
