PN_order,model,pade_num_degree,pade_den_degree,pade_label,sigma_power,a_max,S_max,M_at_max,J_at_max,chi_at_max,Ebind_at_max,a_merger_NR,delta_a,cost_Ebind,cost_chi,nfev_Ebind,nfev_chi,a_extrap_min,a_extrap_max,n_extrap,n_physical_points,physical_fraction,flags,status,error
0PN,Padé [3/1],3,1,Padé [3/1],4.0,4.381338133813381,11.492426802183205,0.979741943275167,0.40733183262175926,0.424350725965807,-0.020258056724832926,3.141313659672962,1.2400244741404194,0.0,4.46975789714088e-12,1,16,1.0,15.0,10000,10000,1.0,OK,success,
0PN,Padé [2/2],2,2,Padé [2/2],1.0,4.378537853785378,11.49267683013907,0.979728987299561,0.4071328704381204,0.4241546687183642,-0.020271012700438806,3.141313659672962,1.2372241941124162,0.0,5.342393194496253e-11,1,463,1.0,15.0,10000,10000,1.0,OK,success,
0PN,Padé [2/2],2,2,Padé [2/2],2.0,4.378537853785378,11.492662701008264,0.979728987299561,0.4071376715265737,0.42415967053528997,-0.0202710127004388,3.141313659672962,1.2372241941124162,0.0,2.1736390465321165e-11,1,504,1.0,15.0,10000,10000,1.0,OK,success,
0PN,Padé [2/2],2,2,Padé [2/2],3.0,4.377137713771377,11.492762863828661,0.9797225030950738,0.40704654447939503,0.4240703468483447,-0.02027749690492607,3.141313659672962,1.2358240540984156,0.0,1.7248868999786282e-11,1,16,1.0,15.0,10000,10000,1.0,OK,success,
0PN,Padé [2/2],2,2,Padé [2/2],4.0,4.3799379937993805,11.49252969423517,0.9797354673584214,0.40723989772260627,0.4242605584503794,-0.02026453264157843,3.141313659672962,1.2386243341264187,0.0,1.802513693860419e-11,1,15,1.0,15.0,10000,10000,1.0,OK,success,
0PN,Padé [3/2],3,2,Padé [3/2],1.0,4.3799379937993805,11.492526734760819,0.9797354673584214,0.4072409030536976,0.4242616057994545,-0.020264532641578435,3.141313659672962,1.2386243341264187,0.0,1.5386580898280044e-11,1,17,1.0,15.0,10000,10000,1.0,OK,success,
0PN,Padé [3/2],3,2,Padé [3/2],2.0,4.3799379937993805,11.492530267393757,0.9797354673584212,0.40723970302073725,0.42426035561091285,-0.020264532641578643,3.141313659672962,1.2386243341264187,0.0,7.148726055561383e-12,1,17,1.0,15.0,10000,10000,1.0,OK,success,
0PN,Padé [3/2],3,2,Padé [3/2],3.0,4.3799379937993805,11.492498046402904,0.9797354673584212,0.40725064830927493,0.4242717583596449,-0.02026453264157863,3.141313659672962,1.2386243341264187,0.0,2.021938172447335e-12,1,17,1.0,15.0,10000,10000,1.0,OK,success,
0PN,Padé [3/2],3,2,Padé [3/2],4.0,4.3799379937993805,11.49248318887252,0.9797354673584213,0.4072556952075516,0.42427701619389263,-0.020264532641578625,3.141313659672962,1.2386243341264187,0.0,6.339373470609644e-13,1,17,1.0,15.0,10000,10000,1.0,OK,success,
0PN,Padé [4/2],4,2,Padé [4/2],1.0,4.3869386938693875,11.492048569816303,0.979767805607248,0.40768767880634704,0.42469901797267995,-0.020232194392751954,3.141313659672962,1.2456250341964257,0.0,4.9649173661237e-13,1,17,1.0,15.0,10000,10000,1.0,OK,success,
0PN,Padé [4/2],4,2,Padé [4/2],2.0,4.391139113911391,11.491819467893812,0.979787159062608,0.40793546616372195,0.42494035665652374,-0.02021284093739186,3.141313659672962,1.2498254542384295,0.0,9.177103521551544e-13,1,15,1.0,15.0,10000,10000,1.0,OK,success,
0PN,Padé [4/2],4,2,Padé [4/2],3.0,4.395339533953395,11.491585107305154,0.9798064755275863,0.40818455327883824,0.42518306192978916,-0.020193524472413595,3.141313659672962,1.2540258742804333,0.0,8.528733275170453e-13,1,13,1.0,15.0,10000,10000,1.0,OK,success,
0PN,Padé [4/2],4,2,Padé [4/2],4.0,4.398139813981398,11.491480479578373,0.9798193326730309,0.4083328644045026,0.42532638690246205,-0.02018066732696901,3.141313659672962,1.2568261543084365,0.0,3.5127456499139953e-13,1,23,1.0,15.0,10000,10000,1.0,OK,success,
1PN,Padé [1/1],1,1,Padé [1/1],1.0,1.8624862486248634,11.406482765114298,0.977961513199577,0.42054115502401374,0.4397086158442444,-0.022038486800422825,3.141313659672962,1.2788274110480984,6.684177848992334e-07,0.002293431876901675,8,178,1.0,15.0,10000,10000,1.0,OK,success,
1PN,Padé [1/1],1,1,Padé [1/1],2.0,1.877887788778878,11.391126238918032,0.9778913141221153,0.42491165101752976,0.44434209904988375,-0.022108685877884598,3.141313659672962,1.2634258708940838,2.2863893045510508e-07,0.0009327562935228517,7,187,1.0,15.0,10000,10000,1.0,OK,success,
1PN,Padé [1/1],1,1,Padé [1/1],3.0,1.891889188918892,11.376597503465476,0.977837290314923,0.4290964963910655,0.44876789307972226,-0.022162709685076977,3.141313659672962,1.2494244707540698,7.603745544315643e-08,0.000374701065566585,1,203,1.0,15.0,10000,10000,1.0,OK,success,
1PN,Padé [1/1],1,1,Padé [1/1],4.0,1.9044904490449053,11.363918245599391,0.9778085271363213,0.4328566351124834,0.4527270443252917,-0.022191472863678563,3.141313659672962,1.2368232106280566,2.5138286563475276e-08,0.00015090770070691484,1,239,1.0,15.0,10000,10000,1.0,OK,success,
