PN_order,method,pade_order,sigma_power,holdout_cut,a_known_min,a_known_max,n_train,n_hidden,status,error,n_eval,nrmse_Ebind,nrmse_chi,nrmse_S,bias_S,max_abs_residual_S,stability_score
2PN,Padé,2/1,2.0,12.0,10.0,25.4179495899763,3260,792,success,,2000,0.03479597028764522,0.002182973009380679,0.0006712355011584459,-4.438603830878662e-05,8.988224599448813e-05,0.03765017879818435
2PN,Padé,2/1,3.0,12.0,10.0,25.4179495899763,3260,792,success,,2000,0.030910916553187704,0.0018914589200138914,0.0006473979183664918,-4.200643786862735e-05,8.967127864067947e-05,0.03344977339156809
2PN,Padé,2/1,4.0,12.0,10.0,25.4179495899763,3260,792,success,,2000,0.027453595316426035,0.0016396952707910637,0.0006180120959696204,-3.937207290709388e-05,8.818796707821264e-05,0.029711302683186717
2PN,Padé,2/1,1.0,13.0,10.0,25.4179495899763,2912,1140,success,,2000,0.05177103304332191,0.0023229116905604187,0.0016156366117415894,-0.00015446660749521258,0.00038162743306635605,0.05570958134562392
2PN,Padé,2/1,2.0,13.0,10.0,25.4179495899763,2912,1140,success,,2000,0.04709590937681962,0.0021018167249164895,0.00148328229869868,-0.00013984533940322575,0.0003568655180625768,0.05068100840043479
2PN,Padé,2/1,3.0,13.0,10.0,25.4179495899763,2912,1140,success,,2000,0.027455055642918714,0.0019025950524244081,0.00018413801352691402,-1.858307294960504e-05,4.266369738914477e-05,0.029541788708870035
2PN,Padé,2/1,4.0,13.0,10.0,25.4179495899763,2912,1140,success,,2000,0.015317095471564537,0.0017218257111560312,0.0005660761589442572,5.0535595531762565e-05,0.00013893386396546248,0.017604997341664822
2PN,Padé,2/1,1.0,14.0,10.0,25.4179495899763,2590,1462,success,,2000,0.048169987542929726,0.0022266397348751792,0.0011717311747076315,-0.0001466083456496463,0.0004168996799265301,0.051568358452512536
2PN,Padé,2/1,2.0,14.0,10.0,25.4179495899763,2590,1462,success,,2000,0.045071659041560685,0.002073801172052815,0.001107582021037879,-0.00013691448022207188,0.0003993223866416429,0.04825304223465138
2PN,Padé,2/1,3.0,14.0,10.0,25.4179495899763,2590,1462,success,,2000,0.013617431590532969,0.0019318531496326247,0.0009439014825464666,0.00011318328521783805,0.0003340143530259354,0.01649318622271206
2PN,Padé,2/1,4.0,14.0,10.0,25.4179495899763,2590,1462,success,,2000,0.012941408424974443,0.0017998540897835966,0.0008603331270331514,0.0001023029561345563,0.0003072284189329366,0.01560159564179119
2PN,Padé,2/1,1.0,15.0,10.0,25.4179495899763,2291,1761,success,,2000,0.045905660527142414,0.002162676600231558,0.0008647364595371869,-0.0001332550791362701,0.00042926698126066754,0.04893307358691116
2PN,Padé,2/1,2.0,15.0,10.0,25.4179495899763,2291,1761,success,,2000,0.043790494614061544,0.0020550043029080364,0.0008339747128547997,-0.0001272342450690367,0.00041788783196494705,0.04667947362982438
2PN,Padé,2/1,3.0,15.0,10.0,25.4179495899763,2291,1761,success,,2000,0.014260532895901174,0.0019529864703062975,0.0009437005360907801,0.00014053579826268957,0.0004526593665072909,0.01715721990229825
2PN,Padé,2/1,4.0,15.0,10.0,25.4179495899763,2291,1761,success,,2000,0.014413824348990382,0.0018561465636930644,0.0008407824022412097,0.00012424526753289467,0.00040601712293941716,0.01711075331492466
